,City Name,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Bluff,89,NZ,1618522387,89,-46.6,168.3333,283.71,4.02
1,Berdigestyakh,95,RU,1618522387,98,62.0989,126.6992,264.1,1.46
2,Punta Arenas,40,CL,1618522387,71,-53.15,-70.9167,284.15,4.12
3,Torbay,90,CA,1618522388,100,47.6666,-52.7314,273.71,8.75
4,Mar del Plata,0,AR,1618522388,77,-38.0023,-57.5575,294.26,4.12
5,Port Alfred,96,ZA,1618522388,55,-33.5906,26.891,291.99,9.93
6,Mae Sai,0,TH,1618522389,94,20.4335,99.8762,297.15,1.03
7,Vaini,20,TO,1618522389,78,-21.2,-175.2,299.15,4.63
8,Jamestown,90,US,1618522389,65,42.097,-79.2353,278.15,5.66
9,Trairi,98,BR,1618522390,89,-3.2778,-39.2689,298.43,4.13
10,Kavieng,100,PG,1618522390,79,-2.5744,150.7967,300.45,3.12
11,Valparaíso,1,CL,1618522390,82,-33.0393,-71.6273,287.15,1.54
12,Saint-Philippe,0,RE,1618522391,83,-21.3585,55.7679,297.15,2.06
13,Rikitea,75,PF,1618522391,72,-23.1203,-134.9692,298.78,3.35
14,Coyhaique,75,CL,1618522391,58,-45.5752,-72.0662,286.15,1.54
15,Busselton,73,AU,1618522392,95,-33.65,115.3333,286.48,3.73
16,Dudinka,98,RU,1618522392,92,69.4058,86.1778,247.41,7.68
17,Faanui,41,PF,1618522392,73,-16.4833,-151.75,301.18,5.53
18,Hermanus,8,ZA,1618522393,71,-34.4187,19.2345,291.48,3.58
19,Saint Paul Harbor,90,US,1618522360,81,57.79,-152.4072,279.15,4.12
20,Grand Gaube,69,MU,1618522393,84,-20.0064,57.6608,298.71,1.79
21,Toamasina,40,MG,1618522393,100,-18.1667,49.3833,297.15,1.54
22,Vila Velha,0,BR,1618522394,65,-20.3297,-40.2925,298.15,4.12
23,Prince Rupert,1,CA,1618522394,66,54.3161,-130.3201,284.15,2.06
24,Mocuba,32,MZ,1618522394,94,-16.8392,36.9856,292.56,1.28
25,Mataura,87,NZ,1618522395,89,-46.1927,168.8643,283.71,4.02
26,Palu,100,ID,1618522395,91,-0.8917,119.8707,295.91,1.38
27,Maningrida,54,AU,1618522395,87,-12.0667,134.2667,297.25,2.91
28,Mahébourg,75,MU,1618522396,94,-20.4081,57.7,298.15,0.51
29,Lompoc,6,US,1618522231,72,34.6391,-120.4579,289.26,7.72
30,Esperance,17,AU,1618522396,93,-33.8667,121.9,283.15,3.09
